;imdb;metascore;movie;votes;year
1277;4.0;27;Norbit;57175;-2007
2744;6.0;42;The Boy;57143;-2016
2434;6.3;41;Before I Go to Sleep;57116;-2014
1963;6.8;43;Machine Gun Preacher;56970;-2011
925;5.0;34;Miss Congeniality 2: Armed and Fabulous;56953;-2005
2302;6.2;43;Redemption;56835;(I) (2013)
2110;8.3;89;Gangs of Wasseypur;56832;-2012
232;6.6;75;Joy Ride;56801;-2001
64;7.4;73;Wonder Boys;56742;-2000
2303;5.8;49;Old Boy;56700;-2013
1964;6.2;50;Red State;56672;-2011
1783;4.9;33;Gulliver's Travels;56667;-2010
1440;7.6;82;Hunger;56649;-2008
1102;3.7;36;The Wicker Man;56560;-2006
1441;6.5;58;City of Ember;56530;-2008
2583;7.3;64;Youth;56436;(I) (2015)
1103;5.1;50;My Super Ex-Girlfriend;56393;-2006
2111;6.9;55;The First Time;56345;(I) (2012)
1965;7.1;52;The Devil's Double;56339;-2011
1104;7.1;63;Invincible;56185;-2006
1613;6.3;24;The Boondock Saints II: All Saints Day;56081;-2009
2112;5.4;51;The Man with the Iron Fists;56040;-2012
2113;7.1;67;Robot & Frank;56024;-2012
2745;6.6;67;Hush;56003;(I) (2016)
1278;6.3;41;TMNT- les tortues ninja;55995;-2007
1966;6.5;53;The Awakening;55895;(I) (2011)
1105;7.0;52;Black Snake Moan;55845;-2006
2845;6.6;62;Annabelle: Creation;55792;-2017
1442;4.5;33;Superhero Movie;55780;-2008
1443;4.8;30;The Spirit;55779;-2008
1614;6.5;66;The Informant!;55767;-2009
2304;5.6;36;Runner Runner;55764;-2013
233;6.6;58;Le baiser mortel du dragon;55719;-2001
926;6.6;59;Nanny McPhee;55619;-2005
65;6.7;62;The Gift;55583;-2000
1784;8.0;85;Exit Through the Gift Shop;55527;-2010
1615;6.7;43;Brooklyn's Finest;55413;-2009
234;7.1;57;Brotherhood of the Wolf;55403;-2001
2846;6.3;49;Despicable Me 3;55400;-2017
2435;6.3;38;The November Man;55315;-2014
1967;6.0;35;Dream House;55284;-2011
2746;5.7;38;Mechanic: Résurrection;55276;-2016
577;5.6;28;Timeline;55265;-2003
1444;6.7;45;Pride and Glory;55251;-2008
1968;6.8;58;Salmon Fishing in the Yemen;55220;-2011
1616;5.4;32;Land of the Lost;55145;-2009
2747;7.4;69;Traque à Boston;55030;-2016
402;5.5;32;Showtime;55025;-2002
1617;7.3;73;Canine;54854;-2009
2305;3.5;11;Scary Movie 5;54819;-2013
2584;5.5;27;Mortdecai;54781;-2015
2114;4.6;40;Paranormal Activity 4;54745;-2012
1279;7.7;78;Control;54713;-2007
1618;5.8;54;Observe and Report;54628;-2009
1785;7.6;84;13 assassins;54606;-2010
2436;6.0;55;The Gambler;54561;(III) (2014)
1445;7.7;56;Religulous;54541;-2008
756;6.3;59;Wimbledon;54433;-2004
927;6.5;60;In Her Shoes;54423;-2005
2115;7.5;73;Rust and Bone;54394;-2012
66;6.6;48;Titan A.E.;54307;-2000
403;6.1;49;S1m0ne;54239;-2002
928;6.7;53;Goal! The Dream Begins;54224;-2005
1786;5.6;25;When in Rome;54195;-2010
1106;6.8;48;Penelope;54136;-2006
1969;6.1;41;Larry Crowne;54040;-2011
2116;8.2;79;Sugar Man;53983;-2012
1280;7.0;74;Breach;53914;-2007
2437;5.6;59;Unfriended;53839;-2014
2585;7.8;79;Beasts of No Nation;53838;-2015
2438;6.6;54;Magic in the Moonlight;53806;-2014
2439;6.1;54;The Signal;53794;-2014
578;5.5;39;Daddy Day Care;53702;-2003
2440;6.4;45;Two Night Stand;53672;-2014
1619;5.9;33;The Haunting in Connecticut;53658;-2009
2117;5.0;16;Silent Hill: Revelation;53538;-2012
1281;5.1;32;The Hills Have Eyes II;53531;-2007
2748;7.5;76;A Monster Calls;53506;-2016
235;7.8;82;Waking Life;53452;-2001
929;5.6;52;Dark Water;53448;-2005
2749;6.7;81;Jackie;53293;(V) (2016)
2441;7.0;79;A Most Violent Year;53280;-2014
1282;6.8;56;The Brave One;53182;-2007
1446;6.8;64;Appaloosa;53109;-2008
579;6.5;34;Basic;53103;-2003
1447;6.0;30;Punisher: War Zone;53091;-2008
1620;7.1;47;Everybody's Fine;53089;-2009
2442;7.3;67;The Book of Life;53043;-2014
930;7.5;58;Everything Is Illuminated;52975;-2005
1283;7.1;73;The Lookout;52955;-2007
2443;6.8;59;Mr. Peabody & Sherman;52852;-2014
1448;5.7;41;Drillbit Taylor;52807;-2008
2586;6.0;58;Sisters;52785;(III) (2015)
1787;6.3;51;Going the Distance;52721;-2010
1107;7.3;64;Eight Below;52702;-2006
1621;7.3;69;Enter the Void;52663;-2009
2306;7.1;78;Enough Said;52656;-2013
2587;7.1;72;Bone Tomahawk;52654;-2015
1108;7.7;81;Paprika;52547;-2006
1449;5.6;41;Tout... sauf en famille;52545;-2008
757;5.2;42;The Stepford Wives;52535;-2004
2750;6.3;52;Triple 9;52526;-2016
1109;2.7;11;Date Movie;52504;-2006
2307;7.8;83;Le vent se lève;52435;-2013
67;5.9;48;Vertical Limit;52415;-2000
758;6.4;33;Profession profiler;52398;-2004
931;6.3;56;The Family Stone;52392;-2005
404;6.7;58;K-19: The Widowmaker;52360;-2002
2751;6.6;64;Café Society;52293;-2016
236;7.5;78;The Devil's Backbone;52238;-2001
759;6.3;53;Ella Enchanted;52225;-2004
2752;4.7;34;Zoolander 2;52215;-2016
2308;7.1;77;Blue Ruin;52159;-2013
2588;6.9;67;Mr. Holmes;52138;-2015
2118;6.8;58;Trouble with the Curve;52110;-2012
2753;6.8;65;The Autopsy of Jane Doe;52079;-2016
1622;6.6;45;Fanboys;52065;-2009
2119;6.2;36;Red Lights;52026;-2012
2444;6.7;29;The Best of Me;52025;-2014
1970;4.9;27;The Darkest Hour;52011;-2011
2754;5.8;23;Underworld: Blood Wars;51989;-2016
1110;5.8;45;Firewall;51951;-2006
1971;6.7;68;Like Crazy;51948;-2011
580;8.0;54;Kal Ho Naa Ho;51931;-2003
2755;7.0;66;The Infiltrator;51893;-2016
1450;6.1;58;The Midnight Meat Train;51875;-2008
1623;7.3;81;Fish Tank;51856;-2009
2309;8.1;83;Blackfish;51730;-2013
2445;5.7;41;Sabotage;51711;-2014
68;6.9;49;The Crimson Rivers;51621;-2000
581;5.8;41;What a Girl Wants;51611;-2003
2756;6.5;56;Trolls;51482;-2016
2847;7.6;60;Gifted;51478;-2017
69;6.5;30;The Replacements;51326;-2000
2589;6.5;41;Enfant 44;51321;-2015
1972;5.9;36;Something Borrowed;51305;-2011
1284;6.2;46;The Nanny Diaries;51292;-2007
582;7.1;65;Coffee and Cigarettes;51281;-2003
1111;5.5;43;The Omen;51227;-2006
405;7.7;56;Sympathy for Mr. Vengeance;51191;-2002
1788;6.5;37;Charlie St. Cloud;51172;-2010
1451;7.0;60;Traitor;51158;-2008
70;6.2;45;Proof of Life;51153;-2000
2120;7.4;82;Frances Ha;51050;-2012
583;4.7;47;Legally Blonde 2: Red, White & Blonde;51032;-2003
237;6.2;53;Save the Last Dance;51011;-2001
1285;7.0;73;I'm Not There.;50882;-2007
406;7.1;52;Spirit: Stallion of the Cimarron;50862;-2002
760;7.3;70;Friday Night Lights;50750;-2004
1286;7.1;55;Becoming Jane;50715;-2007
2121;5.9;45;The Possession;50627;(I) (2012)
1287;7.6;65;The Great Debaters;50590;-2007
761;6.5;47;Ladder 49;50587;-2004
1789;7.0;56;Jackass 3D;50585;-2010
1452;5.4;24;Bangkok Dangerous;50582;-2008
2310;6.4;35;Grudge Match;50508;-2013
238;4.8;43;The Animal;50479;-2001
1790;6.2;45;Step Up 3D;50478;-2010
1112;7.1;53;We Are Marshall;50445;-2006
762;6.5;66;In Good Company;50424;-2004
2590;5.8;36;Pan;50366;-2015
1973;6.8;75;Bernie;50352;-2011
932;7.6;79;March of the Penguins;50294;-2005
1974;7.2;75;Win Win;50249;-2011
1975;6.6;36;The Art of Getting By;50245;-2011
71;5.7;34;Red Planet;50193;-2000
584;5.6;36;Jeepers Creepers II;50155;-2003
1791;6.2;45;Takers;50073;-2010
2311;6.1;71;Drinking Buddies;50041;-2013
2848;4.6;43;Death Note;50034;-2017
1792;8.6;79;Senna;49932;-2010
1288;6.8;55;Rendition;49914;-2007
239;5.7;44;America's Sweethearts;49826;-2001
2757;6.6;59;Bridget Jones Baby;49692;-2016
1624;7.3;64;The Young Victoria;49650;-2009
407;5.1;66;Spy Kids 2: Island of Lost Dreams;49576;-2002
1113;5.5;33;RV;49476;-2006
585;6.5;63;Out of Time;49465;(I) (2003)
2758;6.4;47;A Cure for Wellness;49371;-2016
1453;8.0;91;Waltz with Bashir;49304;-2008
1976;5.2;24;Apollo 18;49300;-2011
240;5.1;47;Cats & Dogs;49289;-2001
1977;5.9;42;Sanctum;49286;-2011
933;6.5;45;Hoodwinked!;49216;-2005
586;5.9;50;Duplex;49183;-2003
2591;6.7;74;The Invitation;49166;(I) (2015)
2122;5.8;55;V/H/S;49160;-2012
408;5.1;32;The Sweetest Thing;49021;-2002
763;6.5;58;Night Watch;49002;-2004
1793;4.7;33;Jonah Hex;48823;-2010
1114;7.4;62;Wristcutters: A Love Story;48814;-2006
1794;7.3;83;Animal Kingdom;48772;-2010
1289;7.9;97;4 Months, 3 Weeks and 2 Days;48771;-2007
2759;6.8;58;The Finest Hours;48748;-2016
2592;7.2;88;Anomalisa;48650;-2015
72;7.5;78;Best in Show;48646;-2000
2123;6.5;43;Step Up Revolution;48628;-2012
764;5.5;24;The Whole Ten Yards;48578;-2004
1978;5.2;30;Zookeeper;48575;-2011
765;7.5;81;Bad Education;48538;-2004
1290;6.2;44;The Game Plan;48370;-2007
766;7.9;56;The Chorus;48273;-2004
73;6.7;47;The Legend of Bagger Vance;48250;-2000
1625;5.5;51;My Bloody Valentine;48119;-2009
2124;6.5;41;Stand Up Guys;48076;-2012
74;7.3;67;Thirteen Days;47978;-2000
934;6.5;66;The Sisterhood of the Traveling Pants;47974;-2005
1454;4.6;57;High School Musical 3: Senior Year;47970;-2008
2593;4.9;47;Poltergeist;47911;-2015
2446;4.2;22;The Legend of Hercules;47834;-2014
1626;6.4;29;The Collector;47803;(I) (2009)
1627;7.1;58;Away We Go;47791;-2009
1628;6.0;61;Le guerrier silencieux, Valhalla Rising;47774;-2009
2594;6.4;58;The Night Before;47757;(II) (2015)
2760;8.1;84;Mademoiselle;47755;-2016
2447;7.4;77;Calvary;47702;-2014
241;6.0;33;Péché originel;47701;-2001
2595;5.3;34;Point Break;47694;-2015
767;7.0;40;Wicker Park;47681;-2004
935;5.5;31;Sa mère ou moi!;47678;-2005
768;6.1;47;Flight of the Phoenix;47656;-2004
1115;5.4;29;Just My Luck;47594;-2006
2312;6.4;37;The Frozen Ground;47499;-2013
1629;7.5;83;In the Loop;47457;-2009
2849;7.4;76;Okja;47381;-2017
2596;5.4;40;Aloha;47376;(I) (2015)
242;6.9;27;The Majestic;47342;-2001
936;5.0;35;Stealth;47313;-2005
2850;7.7;86;The Big Sick;47289;-2017
1979;5.7;36;Arthur;47246;(I) (2011)
1291;7.2;68;Timecrimes;47236;-2007
2851;5.3;43;The Circle;47174;(I) (2017)
2448;6.1;37;Automata;47129;(I) (2014)
1630;5.7;52;Race to Witch Mountain;47103;-2009
1116;6.8;49;Tristan + Isolde;47102;-2006
1980;7.1;55;Perfect Sense;47053;-2011
243;6.5;58;Session 9;47039;-2001
1292;6.7;52;My Blueberry Nights;46993;-2007
75;7.3;70;Quills;46964;-2000
587;7.2;65;A Tale of Two Sisters;46939;-2003
2449;6.8;61;The Boxtrolls;46915;-2014
937;6.5;57;Casanova;46894;-2005
1293;6.1;23;The Condemned;46788;-2007
938;7.8;68;The World's Fastest Indian;46784;-2005
939;7.1;56;Lords of Dogtown;46719;-2005
588;5.8;62;Stuck on You;46717;-2003
1455;5.4;36;The Eye;46708;-2008
409;5.3;30;Queen of the Damned;46685;-2002
410;5.4;53;Eight Legged Freaks;46642;-2002
76;7.3;79;Sexy Beast;46614;-2000
940;5.5;34;Cheaper by the Dozen 2;46559;-2005
411;6.1;50;Murder by Numbers;46484;-2002
244;6.2;47;Heartbreakers;46481;-2001
77;6.4;60;Keeping the Faith;46388;-2000
1795;7.1;45;Hesher;46381;-2010
1294;6.7;49;Cassandra's Dream;46299;-2007
1981;6.3;42;Take Me Home Tonight;46270;-2011
245;6.3;29;How High;46151;-2001
412;6.3;49;Hart's War;46147;-2002
1456;5.9;35;Star Wars: The Clone Wars;46086;-2008
1631;6.7;61;The Soloist;46078;-2009
413;6.7;50;Les lois de l'attraction;46065;-2002
1982;5.3;46;The Dilemma;46019;-2011
1117;7.0;72;Inland Empire;46006;-2006
589;7.6;52;Secondhand Lions;45972;-2003
769;6.2;49;Alfie;45930;-2004
246;6.7;42;Wet Hot American Summer;45839;-2001
247;6.8;71;The Pledge;45829;(I) (2001)
1457;7.8;80;Food, Inc.;45714;-2008
1796;6.3;57;All Good Things;45645;-2010
2450;5.6;31;Vampire Academy;45638;-2014
1983;6.0;53;Gnomeo & Juliet;45608;-2011
248;4.9;35;Ghosts of Mars;45568;-2001
1458;7.8;89;Man on Wire;45455;-2008
249;7.1;55;Ichi the Killer;45452;-2001
2597;6.2;49;Krampus;45382;(I) (2015)
2451;6.2;31;Winter's Tale;45357;-2014
590;5.7;63;Open Water;45324;-2003
2761;6.4;66;Blood Father;45222;-2016
1459;6.7;72;Transsiberian;45193;-2008
1460;3.8;24;The Love Guru;45183;-2008
591;7.8;91;The Triplets of Belleville;45160;-2003
941;7.4;73;The Proposition;45147;-2005
942;7.8;87;Grizzly Man;45125;-2005
943;2.2;20;Son of the Mask;44851;-2005
2452;6.0;25;Walk of Shame;44832;-2014
2598;6.3;50;True Story;44828;(I) (2015)
2599;5.4;51;Blackhat;44792;-2015
2313;6.8;68;The East;44674;-2013
2852;6.6;50;Going in Style;44631;-2017
250;6.1;34;15 Minutes;44545;-2001
592;4.2;57;Spy Kids 3: Game Over;44529;-2003
2125;6.6;73;Arbitrage;44523;-2012
1632;4.8;30;The Unborn;44500;-2009
1984;6.1;33;Grave Encounters;44497;-2011
251;5.9;20;Joe Dirt;44492;-2001
2600;5.6;60;Magic Mike XXL;44436;-2015
252;6.3;23;Formula 51;44433;-2001
944;5.5;35;Rumor Has It...;44372;-2005
770;7.5;78;2046;44339;-2004
2453;6.8;62;Veronica Mars;44288;-2014
2454;8.1;88;Citizenfour;44212;-2014
2853;7.1;74;Mother!;44211;-2017
2601;6.7;71;Macbeth;44201;-2015
771;7.1;79;Kinsey;44187;-2004
2762;6.6;78;The Lost City of Z;44164;-2016
593;5.5;40;Bulletproof Monk;44122;-2003
1118;6.1;49;The Sentinel;44106;-2006
414;5.4;35;I Spy;44092;-2002
78;7.0;63;Boiler Room;44072;-2000
1633;6.1;39;Planète 51;44063;-2009
2455;6.8;54;Draft Day;43988;(I) (2014)
253;7.5;79;The Piano Teacher;43972;-2001
1461;6.8;55;The Brothers Bloom;43950;-2008
945;7.0;53;Rent;43926;-2005
772;8.0;78;Head-On;43886;-2004
1797;5.6;63;Le dernier exorcisme;43840;-2010
1798;5.8;28;You Again;43808;-2010
2602;6.6;53;Irrational Man;43798;-2015
594;7.5;90;American Splendor;43737;-2003
946;5.5;30;White Noise;43710;(I) (2005)
2763;6.3;36;Criminal;43576;-2016
2764;7.2;89;Elle;43571;(I) (2016)
947;4.6;23;Deuce Bigalow: European Gigolo;43558;-2005
1799;6.4;65;Everything Must Go;43547;-2010
1800;5.3;34;The Back-up Plan;43502;-2010
1985;7.1;49;Don, le retour du roi;43454;-2011
1634;6.2;69;Duplicity;43340;-2009
1801;7.0;76;Rabbit Hole;43209;-2010
1462;6.1;47;Lakeview Terrace;43190;-2008
1986;6.9;75;Martha Marcy May Marlene;43158;-2011
1463;7.9;64;The Chaser;43152;-2008
1119;5.6;25;The Benchwarmers;43130;-2006
1295;6.2;47;Lions for Lambs;43130;-2007
415;6.2;48;Orange County;43126;-2002
1464;6.7;82;Rachel Getting Married;43113;-2008
1465;6.2;32;Untraceable;43062;-2008
595;2.4;18;Gigli;42998;-2003
1635;8.5;84;The Cove;42976;-2009
596;7.6;75;The Blind Swordsman: Zatoichi;42971;-2003
773;7.7;52;Dead Man's Shoes;42955;-2004
254;6.3;38;Don't Say a Word;42884;-2001
1987;6.7;60;The Beaver;42862;-2011
2603;7.3;51;Woman in Gold;42800;-2015
1802;5.6;56;Don't Be Afraid of the Dark;42755;-2010
1803;6.2;52;London Boulevard;42719;-2010
2456;5.8;23;The Cobbler;42714;-2014
1120;4.3;26;Littleman;42692;-2006
1466;6.3;56;W.;42676;(I) (2008)
79;6.5;56;Dinosaur;42629;-2000
597;3.6;9;The Room;42626;-2003
255;4.4;25;Jason X;42589;-2001
2604;7.8;70;Le Petit Prince;42584;(I) (2015)
1296;5.7;66;Diary of the Dead;42567;-2007
1121;7.5;82;Tell No One;42498;-2006
1804;6.6;50;Last Night;42269;(I) (2010)
2765;6.8;56;Storks;42233;-2016
1988;7.6;46;Sacrifices of War;42229;-2011
80;4.3;38;Nutty Professor II: The Klumps;42139;-2000
2457;6.4;58;The Voices;42118;-2014
2766;6.7;71;Pete's Dragon;42107;-2016
81;7.9;80;Nine Queens;42056;-2000
2126;5.7;48;Bullet to the Head;42040;-2012
774;8.1;72;3-Iron;41956;-2004
2605;5.6;40;Wild Card;41935;-2015
948;6.1;32;The Wedding Date;41833;-2005
2458;7.8;79;Pride;41830;(I) (2014)
1805;6.6;65;The Runaways;41814;-2010
1122;5.3;19;The Covenant;41745;-2006
1467;8.1;68;Departures;41705;-2008
775;6.8;62;Saved!;41696;-2004
2767;5.9;34;Keeping Up with the Joneses;41685;-2016
1123;5.0;33;The Grudge 2;41666;-2006
598;5.6;31;National Security;41596;-2003
949;6.8;65;The matador - Même les tueurs ont besoin d'amis;41592;-2005
416;5.6;37;Bad Company;41474;-2002
2459;7.2;83;'71;41464;-2014
1468;6.3;49;New York, I Love You;41435;-2008
2768;5.9;32;Ride Along 2;41427;-2016
256;4.5;13;Freddy Got Fingered;41404;-2001
2606;6.0;36;Victor Frankenstein;41350;-2015
1806;3.5;18;Vampires Suck;41344;-2010
2314;6.7;57;Bad Words;41249;-2013
1807;6.8;69;Fair Game;41108;(I) (2010)
2460;6.8;52;Stonehearst Asylum;41102;-2014
2315;5.6;28;The Big Wedding;41085;-2013
2461;6.3;24;Vertiges;41079;-2014
1989;6.2;38;Seeking Justice;41039;-2011
2769;7.0;83;Everybody Wants Some!!;41033;-2016
1469;7.0;87;Gomorrah;40925;-2008
417;7.2;57;Bubba Ho-Tep;40903;-2002
418;5.4;66;Stuart Little 2;40889;-2002
2316;6.0;45;Chennai Express;40879;-2013
2607;5.1;31;Hot Pursuit;40864;-2015
2317;7.4;91;Ida;40612;-2013
599;6.1;36;A Man Apart;40544;-2003
257;7.5;45;Life as a House;40452;-2001
1297;6.3;45;Sydney White;40423;-2007
2462;4.9;39;Tammy;40385;-2014
2318;6.5;68;The Double;40370;-2013
1990;5.9;58;Footloose;40345;-2011
776;7.9;67;Veer-Zaara;40340;-2004
777;6.3;38;After the Sunset;40312;-2004
2127;6.6;47;The Odd Life of Timothy Green;40267;-2012
2128;5.3;53;Bachelorette;40260;-2012
600;6.7;48;Sinbad: Legend of the Seven Seas;40175;-2003
1298;3.8;15;King Rising - Au nom du Roi;40150;-2007
1124;4.8;38;DOA: Dead or Alive;40110;-2006
2319;6.9;45;Odd Thomas;40106;-2013
601;7.2;65;11:14;40084;-2003
2854;6.2;78;It Comes at Night;40044;-2017
1299;7.3;74;Mongol: The Rise of Genghis Khan;39891;-2007
2129;5.0;58;Cosmopolis;39881;-2012
2770;6.6;57;Whiskey Tango Foxtrot;39881;-2016
602;3.8;19;The Cat in the Hat;39873;-2003
1636;4.9;35;Halloween II;39873;-2009
258;8.0;84;No Man's Land;39864;(I) (2001)
1300;5.7;31;Perfect Stranger;39849;-2007
419;6.5;71;The Good Girl;39756;-2002
420;6.2;14;Kung Pow: Enter the Fist;39752;-2002
2771;5.8;42;Office Christmas Party;39694;-2016
1125;7.5;82;Le vent se lève;39691;-2006
1637;6.2;61;Extract;39681;-2009
2320;6.9;74;Joe;39675;(I) (2013)
1991;6.1;55;Hobo with a Shotgun;39640;-2011
82;6.4;45;Rules of Engagement;39638;-2000
2608;6.4;36;Solace;39620;(II) (2015)
2463;4.5;38;Ouija;39606;(II) (2014)
1992;7.1;69;Arthur Christmas;39586;-2011
259;5.9;21;3000 Miles to Graceland;39579;-2001
2772;5.7;34;Ice Age: Collision Course;39575;-2016
2855;7.2;65;American Made;39570;-2017
1126;5.5;36;Employee of the Month;39507;-2006
603;6.8;52;Under the Tuscan Sun;39469;-2003
778;7.5;68;Miracle;39445;-2004
1301;7.0;75;Waitress;39443;-2007
2609;6.8;69;Man Up;39428;(I) (2015)
779;5.9;29;Without a Paddle;39380;-2004
1638;6.5;64;District 13: Ultimatum;39358;-2009
2130;5.5;43;Stolen;39355;-2012
950;4.8;47;Herbie Fully Loaded;39347;-2005
1808;6.3;51;You Will Meet a Tall Dark Stranger;39322;-2010
1470;7.4;73;Red Cliff;39298;-2008
1639;5.8;49;Nine;39218;-2009
1127;7.0;54;Bobby;39204;-2006
1302;5.7;36;The Reaping;39134;-2007
1640;6.2;31;Fired Up!;39083;-2009
1471;5.9;34;My Best Friend's Girl;39049;-2008
604;5.3;37;Honey;39048;-2003
1303;5.4;29;Pathfinder;39044;-2007
2610;6.0;62;The SpongeBob Movie: Sponge Out of Water;39041;-2015
951;2.3;9;Alone in the Dark;39020;-2005
1128;6.5;57;The Last Kiss;39018;-2006
2131;6.1;38;The Collection;39000;(II) (2012)
2773;7.4;90;Paterson;38967;-2016
952;5.1;45;Get Rich or Die Tryin';38888;-2005
1809;5.7;51;Death at a Funeral;38884;-2010
2132;7.5;77;The Imposter;38879;-2012
953;6.2;50;Two for the Money;38865;-2005
954;7.8;51;Adam's Apples;38840;-2005
1304;7.7;79;The Visitor;38833;(I) (2007)
1810;6.8;69;The Company Men;38816;-2010
1305;7.6;78;The Counterfeiters;38798;-2007
1641;7.4;65;Black Dynamite;38797;-2009
2321;6.1;50;The Zero Theorem;38747;-2013
2464;7.0;56;Million Dollar Arm;38722;-2014
421;7.4;84;Far from Heaven;38704;-2002
1811;6.4;71;Black Death;38686;-2010
955;6.8;64;Proof;38674;-2005
422;5.6;48;The Santa Clause 2;38660;-2002
1993;7.1;53;Soul Surfer;38583;-2011
2611;7.8;85;Amy;38500;(III) (2015)
2774;5.8;45;Pride and Prejudice and Zombies;38399;-2016
1129;7.3;57;Candy;38382;-2006
2133;7.2;62;Kon-Tiki;38353;-2012
1130;7.0;70;La cité interdite;38326;-2006
1812;6.3;67;Somewhere;38286;-2010
2134;7.2;79;The Sessions;38198;-2012
780;6.1;47;Shall We Dance;38120;-2004
1642;5.9;43;Cirque du Freak: The Vampire's Assistant;38069;-2009
605;6.0;40;The Hunted;38067;-2003
956;6.2;56;Fever Pitch;38034;-2005
2465;7.0;29;Hector et la recherche du bonheur;38016;-2014
2322;5.3;28;The Colony;37988;(I) (2013)
1994;7.1;50;Kill the Irishman;37957;-2011
2856;6.8;43;A Dog's Purpose;37951;-2017
1813;5.5;43;MacGruber;37908;-2010
1995;6.2;55;Friends with Kids;37851;-2011
423;7.8;76;In America;37848;-2002
1814;5.4;46;How Do You Know;37839;-2010
2612;7.1;47;The Dressmaker;37836;(I) (2015)
2135;7.6;73;A Royal Affair;37770;-2012
1643;7.4;61;Capitalism: A Love Story;37753;-2009
957;7.4;66;Transamerica;37749;-2005
424;7.9;82;Lilya 4-Ever;37746;-2002
1306;6.2;48;Mr. Magorium's Wonder Emporium;37742;-2007
2613;7.7;77;Victoria;37650;(II) (2015)
2466;7.4;89;Two Days, One Night;37649;-2014
1131;5.1;27;When a Stranger Calls;37595;-2006
2323;5.8;39;Planes;37550;-2013
1132;6.6;47;Flyboys;37543;-2006
2324;5.1;20;A Haunted House;37537;-2013
2136;6.6;51;Think Like a Man;37528;-2012
2325;7.8;85;Le passé;37487;-2013
2326;7.8;76;The Lunchbox;37445;-2013
2467;7.6;92;Leviathan;37440;-2014
1815;7.2;61;Conviction;37402;(II) (2010)
1307;5.3;38;Balls of Fury;37390;-2007
1133;7.2;58;Glory Road;37366;-2006
2775;6.1;65;Ouija: Origin of Evil;37344;-2016
1996;6.2;53;The Big Year;37316;-2011
83;6.0;46;28 Days;37293;-2000
781;5.0;34;Scooby-Doo 2: Monsters Unleashed;37284;-2004
2468;6.4;64;The Rover;37225;-2014
606;6.8;70;Swimming Pool;37220;-2003
1816;7.1;65;Catfish;37197;-2010
2327;5.4;61;Dhoom 3;37193;-2013
2776;7.3;55;The Fundamentals of Caring;37100;-2016
607;5.8;36;Cradle 2 the Grave;37092;-2003
2777;6.4;49;Live by Night;37090;-2016
1817;6.5;66;Stake Land;37037;-2010
2469;7.0;60;Kill the Messenger;37032;-2014
1997;5.3;37;Trespass;37029;-2011
1818;6.9;60;Trust;36998;(I) (2010)
2137;5.9;36;Gone;36946;(I) (2012)
1308;5.6;28;The Hitcher;36857;-2007
425;6.4;64;Blood Work;36825;-2002
2138;7.1;49;People Like Us;36811;-2012
958;6.4;52;The Producers;36805;-2005
959;6.2;58;Prime;36784;-2005
2778;6.9;71;Florence Foster Jenkins;36775;-2016
426;7.4;78;Dirty Pretty Things;36760;-2002
2139;6.3;65;Hope Springs;36731;-2012
2614;7.1;71;Far from the Madding Crowd;36709;-2015
1309;5.4;57;Teeth;36670;(I) (2007)
2470;8.1;74;Mommy;36607;(I) (2014)
1819;5.4;58;Stone;36595;-2010
1820;6.1;29;13;36583;(I) (2010)
2779;6.7;68;Popstar: Never Stop Never Stopping;36562;-2016
260;6.2;54;Rock Star;36542;-2001
261;4.7;49;Dr. Dolittle 2;36462;-2001
2471;6.3;77;While We're Young;36404;-2014
2140;5.3;22;One for the Money;36399;-2012
1998;6.2;42;Ironclad;36344;-2011
84;6.1;45;The Kid;36285;-2000
1999;6.9;50;Anonymous;36284;(I) (2011)
1134;5.8;62;Black Sheep;36277;-2006
1472;6.0;55;Baby Mama;36169;-2008
1821;5.6;38;The Ward;36148;-2010
1644;5.6;36;The Pink Panther 2;36137;-2009
427;7.3;65;L'auberge espagnole;36116;-2002
2328;7.4;81;Starred Up;36082;-2013
1135;6.9;52;Gridiron Gang;36042;-2006
2780;5.8;47;Masterminds;36035;(I) (2016)
2781;6.7;49;Gold;36013;(I) (2016)
2000;5.8;43;Bienvenue à Monte Carlo;35955;-2011
428;7.6;80;Paï;35946;-2002
429;6.4;38;Death to Smoochy;35943;-2002
2472;8.1;85;Le chant de la mer;35938;-2014
262;4.5;29;Driven;35929;-2001
2473;5.4;55;Tusk;35929;-2014
85;6.9;71;Shadow of the Vampire;35819;-2000
1645;5.1;41;G-Force;35785;-2009
2141;6.1;56;Sur la route;35776;-2012
2782;6.9;53;Free State of Jones;35734;-2016
86;6.8;70;Ginger Snaps;35706;-2000
960;5.9;49;Guess Who;35690;-2005
961;7.4;77;Three Burials;35647;-2005
2615;5.6;52;Maggie;35604;(I) (2015)
1822;6.2;56;Diary of a Wimpy Kid;35529;-2010
430;7.2;70;Narc;35489;-2002
263;7.9;61;Cowboy Bebop: The Movie;35425;-2001
431;3.4;27;Crossroads;35410;(I) (2002)
2329;6.9;52;Labor Day;35388;-2013
2616;7.1;67;The Peanuts Movie;35386;-2015
782;4.4;27;Taxi;35344;(I) (2004)
1646;6.5;55;The Joneses;35299;-2009
2001;5.9;50;Happy Feet 2;35278;-2011
608;6.3;52;Down with Love;35252;-2003
2783;6.3;63;Keanu;35250;-2016
1647;7.6;81;The Damned United;35232;-2009
2857;6.8;52;Murder on the Orient Express;35218;-2017
