;imdb;metascore;movie;votes;year
339;6.1;49;Men in Black II;286250;-2002
1516;7.9;67;Moon;286014;-2009
686;6.8;48;50 First Dates;285629;-2004
1517;7.4;83;Up in the Air;284859;(I) (2009)
2026;6.8;58;Men in Black 3;284851;-2012
7;7.2;62;Unbreakable;283472;-2000
2360;7.8;69;The Fault in Our Stars;283441;-2014
2027;7.3;76;Flight;282850;(I) (2012)
841;5.7;40;Fantastic Four;281646;(I) (2005)
1686;6.8;49;TRON: Legacy;279819;-2010
340;7.5;33;Equilibrium;279467;-2002
2661;7.4;66;Fantastic Beasts and Where to Find Them;279283;-2016
842;7.7;87;Brokeback Mountain;278635;-2005
341;7.1;57;The Ring;278214;-2002
2361;7.0;56;Maleficent;277729;-2014
1017;6.9;66;Mission: Impossible III;277525;-2006
1018;7.8;53;Lucky Number Slevin;277371;-2006
843;6.9;50;The Island;277011;-2005
2362;7.8;83;The Lego Movie;276981;-2014
8;7.0;73;Meet the Parents;276948;-2000
2662;8.2;71;Tu ne tueras point;276892;-2016
1186;6.9;62;Ocean's Thirteen;276542;-2007
1187;7.4;80;The Simpsons Movie;275188;-2007
687;8.2;82;Downfall;275027;-2004
1188;7.2;53;Shooter;274895;(I) (2007)
1352;7.0;64;Pineapple Express;274843;-2008
174;6.1;44;Pearl Harbor;274366;-2001
688;7.0;66;Mean Girls;273115;-2004
689;6.9;39;National Treasure;270072;-2004
1862;7.1;56;Real Steel;269738;-2011
2363;6.6;52;The Interview;268763;(II) (2014)
2509;7.4;75;Mission: Impossible - Rogue Nation;268310;-2015
1353;7.0;63;Burn After Reading;266513;-2008
175;8.0;83;Mulholland Drive;266385;-2001
176;6.3;48;The Mummy Returns;266232;-2001
1863;7.5;83;Hugo;266163;-2011
2364;5.7;32;Transformers: Age of Extinction;265883;-2014
1019;6.4;45;Click;265680;-2006
2510;7.8;81;The Big Short;265653;-2015
1354;7.9;81;The Wrestler;265584;-2008
2511;7.6;82;Sicario;264512;-2015
2028;7.6;63;Les Misérables;264201;-2012
2029;7.8;84;Moonrise Kingdom;263901;-2012
690;6.8;72;Hellboy;263517;-2004
844;7.6;62;Lord of War;263352;-2005
2030;6.6;51;The Expendables 2;263047;-2012
9;6.1;59;Mission: Impossible II;262330;-2000
2199;7.3;65;Monsters University;261955;-2013
1687;7.6;80;True Grit;261869;-2010
1688;6.4;65;Salt;261674;-2010
845;6.6;58;Hitch;261460;(I) (2005)
1020;6.4;48;Night at the Museum;260504;-2006
1021;7.0;59;Deja Vu;259817;-2006
2031;7.0;50;Jack Reacher;259780;-2012
1022;7.5;69;Babel;259021;(I) (2006)
1355;6.1;35;Jumper;258012;-2008
177;7.1;65;A.I. Artificial Intelligence;257906;-2001
2365;7.2;57;The Equalizer;257065;-2014
2200;7.3;54;The Secret Life of Walter Mitty;257018;-2013
2032;6.3;45;Taken 2;256588;-2012
846;7.9;74;Serenity;256383;-2005
1689;7.1;60;RED;256087;-2010
847;6.9;50;Constantine;255955;-2005
1518;8.4;67;3 Idiots;255010;-2009
342;6.8;51;Le transporteur;254782;-2002
1023;7.8;68;Apocalypto;254192;-2006
1189;7.7;76;3:10 to Yuma;254035;-2007
2512;4.1;46;Fifty Shades of Grey;252421;-2015
2033;6.7;61;The Bourne Legacy;251963;-2012
1356;7.7;36;Seven Pounds;251807;-2008
1024;6.1;72;Superman Returns;250794;-2006
1519;6.7;48;The Proposal;249477;(I) (2009)
2663;7.0;41;Passengers;248558;(I) (2016)
1690;6.9;53;The Book of Eli;248532;-2010
2513;8.2;86;Room;247956;(I) (2015)
2201;5.9;30;The Hangover Part III;247698;-2013
1520;7.0;70;Public Enemies;245934;-2009
2366;7.8;76;How to Train Your Dragon 2;245756;-2014
691;8.2;80;Howl's Moving Castle;245741;-2004
2367;6.3;68;Neighbors;245186;(I) (2014)
2368;6.2;48;300: Rise of an Empire;245029;-2014
1521;7.7;53;The Blind Side;244758;-2009
2034;6.1;57;Snow White and the Huntsman;244625;-2012
10;7.8;69;O Brother, Where Art Thou?;244062;-2000
1691;5.8;39;Clash of the Titans;243158;-2010
1190;7.2;58;The Mist;241796;-2007
178;5.9;42;Jurassic Park III;241740;-2001
1692;6.6;50;Prince of Persia: The Sands of Time;239054;-2010
179;7.6;66;Moulin Rouge;238302;-2001
343;7.2;78;Insomnia;237397;-2002
1864;5.6;39;Green Lantern;237174;-2011
2813;8.3;94;Dunkirk;236609;-2017
2814;7.6;73;Spider-Man: Homecoming;235922;-2017
1522;6.7;48;Angels & Demons;234820;-2009
848;7.2;63;Kingdom of Heaven;234448;-2005
1523;7.4;34;Law Abiding Citizen;234149;-2009
1524;4.6;44;The Twilight Saga: New Moon;233687;-2009
2035;7.2;66;Pitch Perfect;233633;-2012
1865;6.8;75;Bridesmaids;233439;(I) (2011)
2036;7.4;95;Zero Dark Thirty;233080;-2012
11;6.5;35;Gone in Sixty Seconds;232206;-2000
1191;6.1;58;Shrek the Third;232115;-2007
2037;6.4;58;The Dictator;231734;-2012
2514;7.6;81;Bridge of Spies;231569;-2015
1357;7.2;67;Forgetting Sarah Marshall;231509;-2008
2202;7.8;55;About Time;231196;(I) (2013)
2664;7.3;62;Split;229191;(IX) (2016)
12;7.9;93;Crouching Tiger, Hidden Dragon;229129;-2000
1358;6.9;51;Step Brothers;229103;-2008
1693;6.8;52;Insidious;229054;(I) (2010)
1192;6.8;64;1408;228249;-2007
1193;7.0;78;28 Weeks Later;227555;-2007
180;7.6;76;The Royal Tenenbaums;227318;-2001
2203;7.5;60;Lone Survivor;227062;-2013
513;7.0;42;Underworld;226806;-2003
1694;6.7;53;Robin Hood;226066;-2010
514;7.1;82;School of Rock;225796;-2003
2038;6.6;51;John Carter;225618;-2012
515;5.7;54;Hulk;225580;-2003
1194;7.7;66;Stardust;225538;-2007
1195;5.6;45;Fantastic 4: Rise of the Silver Surfer;225131;-2007
692;6.3;41;Meet the Fockers;225040;-2004
1525;6.6;46;Fast & Furious;224881;-2009
1695;6.8;47;The A-Team;223780;-2010
344;7.1;56;Phone Booth;223498;-2002
13;7.2;63;The Patriot;223095;-2000
1866;6.9;56;Unknown;222926;(I) (2011)
1359;7.0;78;Hellboy II: The Golden Army;222789;-2008
181;6.8;57;Hannibal;222631;-2001
345;6.8;65;Panic Room;222196;-2002
2204;6.6;41;Kick-Ass 2;221603;-2013
14;7.9;90;Almost Famous;221503;-2000
2205;6.5;41;Olympus Has Fallen;220429;-2013
182;6.9;45;Vanilla Sky;219909;-2001
2039;7.1;59;Dredd;219761;-2012
2369;7.0;56;Non-Stop;218068;-2014
2040;7.1;69;Chronicle;217752;-2012
346;6.7;33;Resident Evil;217717;-2002
347;7.2;60;Dragon rouge;217273;-2002
2515;6.6;65;The Hunger Games: Mockingjay - Part 2;217049;-2015
183;6.6;61;Zoolander;216863;-2001
2041;6.3;43;Total Recall;215919;(I) (2012)
1867;6.8;64;The Grey;215818;-2011
2815;7.8;86;Baby Driver;215452;-2017
2516;7.3;56;The Man from U.N.C.L.E.;215407;-2015
348;7.7;72;Road to Perdition;215353;-2002
2042;6.2;55;Dark Shadows;215247;-2012
1196;7.7;72;Gone Baby Gone;215191;-2007
2370;5.8;68;Noah;215133;-2014
2517;6.5;38;Terminator Genisys;214916;-2015
2043;5.8;41;Battleship;214655;-2012
1868;7.3;84;The Descendants;214652;-2011
2665;7.2;76;10 Cloverfield Lane;214533;-2016
1360;7.1;70;Vicky Cristina Barcelona;214371;-2008
1025;6.8;58;Ice Age: The Meltdown;213789;-2006
693;6.0;35;Van Helsing;213316;-2004
2666;7.5;77;The Jungle Book;213144;-2016
1869;7.1;60;The Adjustment Bureau;213141;-2011
516;5.9;38;2 Fast 2 Furious;213068;-2003
2044;7.4;86;Lincoln;212880;-2012
184;6.4;43;American Pie 2;212848;-2001
185;7.6;52;Blow;212322;-2001
849;7.8;82;Pride & Prejudice;211273;-2005
1361;7.8;63;Changeling;211133;-2008
694;6.5;44;The Village;210941;-2004
2206;7.0;84;Snowpiercer - le transperceneige;210056;-2013
2207;7.0;81;The World's End;209883;-2013
1026;7.0;57;Crank;209742;-2006
1197;7.8;85;Atonement;209165;-2007
1870;6.1;33;Sucker Punch;208970;-2011
1362;7.3;53;RocknRolla;208564;-2008
2045;7.3;68;The Place Beyond the Pines;207797;-2012
695;7.3;59;Dawn of the Dead;207758;-2004
850;7.4;83;Corpse Bride;207653;-2005
186;7.6;53;Enemy at the Gates;207359;-2001
349;7.1;77;8 Mile;207100;-2002
1871;6.1;36;I Am Number Four;206741;-2011
1872;7.0;57;Paul;206694;-2011
1198;7.3;64;Sunshine;205625;-2007
1696;6.7;64;The Other Guys;205506;-2010
1873;7.3;67;Kung Fu Panda 2;205155;-2011
1027;7.3;51;The Fountain;204801;-2006
2046;8.3;76;The Hunt;204793;-2012
2208;6.6;66;Don Jon;204716;-2013
1028;7.5;56;Le parfum - Histoire d'un meurtrier;204681;-2006
15;7.1;49;Pitch Black;204382;-2000
1874;7.9;89;The Artist;204146;(I) (2011)
1363;7.6;58;The Reader;203949;-2008
851;6.6;40;Saw II;203948;-2005
1364;6.8;48;21;202880;-2008
1365;6.9;61;Les grands frères;202866;-2008
1199;7.7;82;Eastern Promises;202816;-2007
2047;7.2;66;Seven Psychopaths;202576;-2012
2816;7.7;84;Get Out;202178;(I) (2017)
517;7.7;70;21 Grams;201639;-2003
16;6.2;48;Scary Movie;201025;-2000
1029;6.0;45;The Fast and the Furious: Tokyo Drift;200750;-2006
2048;7.3;58;Lawless;200713;-2012
2667;6.9;32;Warcraft: The Beginning;200266;-2016
1200;7.4;42;The Bucket List;200183;-2007
852;7.5;81;A History of Violence;200087;-2005
1875;7.2;75;Rango;199947;-2011
853;7.9;72;Walk the Line;199932;-2005
2371;7.5;69;Predestination;199868;(I) (2014)
